日期,时段,计划购电量_kWh,充电量_kWh,放电量_kWh,时段初储能_kWh,时段末储能_kWh,真实净负荷_kWh,紧急购电量_kWh,弃电量_kWh,能量平衡残差_kWh
2025-04-10,15:10-15:20,270.84043422875783,0.0,0.0,10800.0,10800.0,156.64249999999993,0.0,114.1979342287579,0.0
2025-04-10,15:20-15:30,257.95995595396477,0.0,0.0,10800.0,10800.0,198.6754166666666,0.0,59.28453928729817,0.0
2025-04-10,15:30-15:40,328.7749325712166,0.0,0.0,10800.0,10800.0,234.86501666666663,0.0,93.90991590454996,0.0
2025-04-10,15:40-15:50,341.7388630373713,0.0,0.0,10800.0,10800.0,312.0750333333333,0.0,29.663829704037994,0.0
2025-04-10,15:50-16:00,355.8837952865543,0.0,0.0,10800.0,10800.0,428.50374999999985,72.61995471344557,0.0,0.0
2025-04-10,16:00-16:10,472.3625694978209,0.0,-0.0,10800.0,10800.0,523.1452166666666,50.78264716884564,0.0,0.0
2025-04-10,16:10-16:20,569.1555467381154,0.0,-0.0,10800.0,10800.0,565.1304833333334,0.0,4.025063404782031,0.0
2025-04-10,16:20-16:30,619.9821762657438,0.0,-0.0,10800.0,10800.0,567.4408333333333,0.0,52.54134293241043,0.0
2025-04-10,16:30-16:40,636.8123513806678,0.0,-0.0,10800.0,10800.0,576.3854166666666,0.0,60.42693471400116,0.0
2025-04-10,16:40-16:50,643.2988330249963,0.0,-0.0,10800.0,10800.0,627.0939333333332,0.0,16.20489969166306,0.0
2025-04-10,16:50-17:00,677.5539594743339,0.0,-0.0,10800.0,10800.0,702.7362499999999,25.182290525666076,0.0,0.0
2025-04-10,17:00-17:10,721.8909074349783,0.0,-0.0,10800.0,10800.0,751.4980666666665,29.60715923168823,0.0,0.0
2025-04-10,17:10-17:20,754.376651151367,0.0,-0.0,10800.0,10800.0,777.5630000000001,23.186348848633088,0.0,0.0
2025-04-10,17:20-17:30,835.7494803407563,0.0,-0.0,10800.0,10800.0,818.7283333333334,0.0,17.021147007422996,0.0
2025-04-10,17:30-17:40,899.0760594516989,0.0,0.0,10800.0,10800.0,884.9010999999999,0.0,14.17495945169901,0.0
2025-04-10,17:40-17:50,807.076318310539,0.0,-0.0,10800.0,10800.0,810.42935,3.353031689460977,0.0,0.0
2025-04-10,17:50-18:00,651.9084874542087,0.0,-0.0,10800.0,10800.0,665.7329166666666,13.824429212457858,0.0,0.0
2025-04-10,18:00-18:10,669.2090803570065,0.0,-0.0,10800.0,10800.0,694.8132833333333,25.604202976326746,0.0,0.0
2025-04-10,18:10-18:20,731.5079133058067,0.0,0.0,10800.0,10800.0,724.9336166666667,0.0,6.574296639140016,0.0
2025-04-10,18:20-18:30,729.460778606736,0.0,0.0,10800.0,10800.0,694.9499999999999,0.0,34.51077860673604,0.0
2025-04-10,18:30-18:40,704.4231261118339,0.0,0.0,10800.0,10800.0,715.5399500000001,11.11682388816621,0.0,0.0
2025-04-10,18:40-18:50,194.67555497564126,0.0,532.8333765742992,10800.0,10207.962914917445,714.8253333333333,0.0,12.683598216607152,0.0
2025-04-10,18:50-19:00,0.0,0.0,756.0742269016644,10207.962914917445,9367.880440582263,701.62,0.0,54.454226901664356,0.0
2025-04-10,19:00-19:10,0.0,0.0,740.3273597326519,9367.880440582263,8545.29448532376,759.6016166666666,19.274256934014716,0.0,0.0
2025-04-10,19:10-19:20,0.0,0.0,732.403143063952,8545.29448532376,7731.513215252702,766.9669166666665,34.56377360271449,0.0,0.0
2025-04-10,19:20-19:30,0.0,0.0,736.7612612201887,7731.513215252702,6912.889591674714,711.6499999999999,0.0,25.111261220188794,0.0
2025-04-10,19:30-19:40,0.0,0.0,739.8047288153456,6912.889591674714,6090.884337435441,707.5538166666666,0.0,32.250912148678935,0.0
2025-04-10,19:40-19:50,0.0,0.0,736.8468577016073,6090.884337435441,5272.165606655877,723.73015,0.0,13.11670770160731,0.0
2025-04-10,19:50-20:00,0.0,0.0,743.6438066286553,5272.165606655877,4445.894710401816,728.8633333333333,0.0,14.78047329532194,0.0
2025-04-10,20:00-20:10,0.0,0.0,729.7990680907423,4445.894710401816,3635.006856967658,726.0723333333333,0.0,3.7267347574089627,0.0
2025-04-10,20:10-20:20,0.0,0.0,733.8223734399548,3635.006856967658,2819.6486642565974,707.2112833333333,0.0,26.611090106621532,0.0
2025-04-10,20:20-20:30,0.0,0.0,724.1866898401111,2819.6486642565974,2014.996786656474,696.145,0.0,28.041689840111076,0.0
2025-04-10,20:30-20:40,0.0,0.0,733.4971079908264,2014.996786656474,1200.0,728.0193999999999,0.0,5.477707990826502,0.0
2025-04-10,20:40-20:50,734.2342616704723,0.0,-0.0,1200.0,1200.0,745.0395333333332,10.805271662860946,0.0,0.0
2025-04-10,20:50-21:00,728.4476787538543,0.0,0.0,1200.0,1200.0,731.6783333333333,3.230654579478937,0.0,0.0
2025-04-10,21:00-21:10,752.4241976179145,0.0,0.0,1200.0,1200.0,725.6379,0.0,26.786297617914556,0.0
2025-04-10,21:10-21:20,735.1760626731384,0.0,0.0,1200.0,1200.0,716.0827166666666,0.0,19.093346006471847,0.0
2025-04-10,21:20-21:30,729.9133829091876,0.0,0.0,1200.0,1200.0,727.2533333333333,0.0,2.6600495758542593,0.0
2025-04-10,21:30-21:40,766.9342030488156,0.0,-0.0,1200.0,1200.0,781.6652333333333,14.731030284517715,0.0,0.0
2025-04-10,21:40-21:50,707.5126803369517,0.0,-0.0,1200.0,1200.0,714.2582166666666,6.745536329714923,0.0,0.0
2025-04-10,21:50-22:00,554.3560640162954,0.0,0.0,1200.0,1200.0,564.22,9.863935983704664,0.0,0.0
2025-04-10,22:00-22:10,552.2874924547355,0.0,0.0,1200.0,1200.0,544.49125,0.0,7.79624245473542,0.0
2025-04-10,22:10-22:20,557.2288099874411,0.0,-0.0,1200.0,1200.0,561.1073666666666,3.8785566792255395,0.0,0.0
