日期,时间段,充电量_kWh,放电量_kWh,时段初储能_kWh,时段末储能_kWh
2025-02-26,16:00-20:00,0.0,5729.605350071575,10800.0,4433.771833253805
2025-02-26,20:00-24:00,0.0,2910.3946499284248,4433.771833253805,1200.0
2025-02-27,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-02-27,4:00-8:00,2500.0,3883.974641250913,9300.0,7234.472620832321
2025-02-27,8:00-12:00,5935.582333964316,5138.1344469232445,7234.472620832321,6867.458447041045
2025-02-27,12:00-16:00,6006.257689493412,1325.781330826603,6867.458447041045,10800.0
2025-02-27,16:00-20:00,0.0,5726.592400064246,10800.0,4437.119555484169
2025-02-27,20:00-24:00,0.0,2913.4075999357524,4437.119555484169,1200.0
2025-02-28,0:00-4:00,7493.160155475861,0.0,1200.0,7943.844139928276
2025-02-28,4:00-8:00,1666.6666666666665,6739.286430516379,7943.844139928276,1955.748106021186
2025-02-28,8:00-12:00,4500.558908509343,199.49600359710462,1955.748106021186,5784.5888974605905
2025-02-28,12:00-16:00,5579.825338881669,5.7885322086841455,5784.5888974605905,10800.0
2025-02-28,16:00-20:00,0.0,6285.16931366507,10800.0,3816.4785403721453
2025-02-28,20:00-24:00,0.0,2354.8306863349303,3816.4785403721453,1200.0
2025-03-01,0:00-4:00,6666.666666666666,0.0,1200.0,7200.0
2025-03-01,4:00-8:00,1318.2039436058544,6361.30227171121,7200.0,1318.2699140105904
2025-03-01,8:00-12:00,4874.122375219977,106.44292260953137,1318.2699140105904,5586.71013769798
2025-03-01,12:00-16:00,5792.5442914466885,0.0,5586.71013769798,10800.0
2025-03-01,16:00-20:00,0.0,6170.492341303418,10800.0,3943.8973985517564
2025-03-01,20:00-24:00,0.0,2469.5076586965806,3943.8973985517564,1200.0
2025-03-02,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-02,4:00-8:00,2500.0,3720.8325018101486,9300.0,7415.741664655393
2025-03-02,8:00-12:00,5833.333333333333,5594.167498189854,7415.741664655393,6450.0
2025-03-02,12:00-16:00,5753.152275611057,745.0533432449541,6450.0,10800.0
2025-03-02,16:00-20:00,0.0,5655.582438819027,10800.0,4516.019512423302
2025-03-02,20:00-24:00,0.0,2984.417561180972,4516.019512423302,1200.0
2025-03-03,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-03,4:00-8:00,2500.0,4830.620622338634,9300.0,6182.643752957074
2025-03-03,8:00-12:00,5867.911713327689,4484.3793776613675,6182.643752957074,6481.12054199492
2025-03-03,12:00-16:00,5821.338515470479,828.2926853265149,6481.12054199492,10800.0
2025-03-03,16:00-20:00,0.0,5694.377477374366,10800.0,4472.9139140284815
2025-03-03,20:00-24:00,0.0,2945.622522625634,4472.9139140284815,1200.0
2025-03-04,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-04,4:00-8:00,2500.0,4729.791600978489,9300.0,6294.6759989127895
2025-03-04,8:00-12:00,5922.189783999427,4589.799136795262,6294.6759989127895,6524.869985850873
2025-03-04,12:00-16:00,5923.37189771874,950.3142244179647,6524.869985850873,10800.0
2025-03-04,16:00-20:00,0.0,5697.29617358309,10800.0,4469.67091824101
2025-03-04,20:00-24:00,0.0,2942.703826416909,4469.67091824101,1200.0
2025-03-05,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-05,4:00-8:00,2500.0,4269.372204773975,9300.0,6806.253105806695
2025-03-05,8:00-12:00,5858.28690440492,5045.627795226025,6806.253105806695,6472.458213964429
2025-03-05,12:00-16:00,6001.128547699322,966.126516204437,6472.458213964429,10800.0
2025-03-05,16:00-20:00,0.0,5672.925223772034,10800.0,4496.749751364408
2025-03-05,20:00-24:00,0.0,2967.074776227968,4496.749751364408,1200.0
2025-03-06,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-06,4:00-8:00,2500.0,4074.4421398226054,9300.0,7022.842066863772
2025-03-06,8:00-12:00,5857.209688271556,5240.557860177394,7022.842066863772,6471.4887194444
2025-03-06,12:00-16:00,5721.103979167128,738.4340706253381,6471.4887194444,10800.0
2025-03-06,16:00-20:00,0.0,5662.619308247449,10800.0,4508.200768613945
2025-03-06,20:00-24:00,0.0,2977.3806917525503,4508.200768613945,1200.0
2025-03-07,0:00-4:00,6666.666666666666,0.0,1200.0,7200.0
2025-03-07,4:00-8:00,1044.7297744834607,6137.365136016859,7200.0,1320.9622014608274
2025-03-07,8:00-12:00,5057.140602592153,108.8659813147446,1320.9622014608274,5751.426542332939
2025-03-07,12:00-16:00,5609.526064074515,0.0,5751.426542332939,10800.0
2025-03-07,16:00-20:00,0.0,6210.084472132309,10800.0,3899.906142075212
2025-03-07,20:00-24:00,0.0,2429.9155278676903,3899.906142075212,1200.0
2025-03-08,0:00-4:00,6406.403410893888,0.0,1200.0,6965.7630698044995
2025-03-08,4:00-8:00,833.3333333333333,5843.192445526558,6965.7630698044995,1223.3270192194357
2025-03-08,8:00-12:00,5000.862319265032,20.994317297492074,1223.3270192194357,5700.77608733853
2025-03-08,12:00-16:00,5665.8043474016295,0.0,5700.77608733853,10800.0
2025-03-08,16:00-20:00,0.0,6229.289530134163,10800.0,3878.5671887398207
2025-03-08,20:00-24:00,0.0,2410.710469865838,3878.5671887398207,1200.0
2025-03-09,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-09,4:00-8:00,2500.0,3567.750598558545,9300.0,7585.8326682682855
2025-03-09,8:00-12:00,5840.401372323666,5212.974513023627,7585.8326682682855,7050.0
2025-03-09,12:00-16:00,5942.039215215716,1438.0517643247294,7050.0,10800.0
2025-03-09,16:00-20:00,0.0,5660.579970737958,10800.0,4510.466699180047
2025-03-09,20:00-24:00,0.0,2979.4200292620417,4510.466699180047,1200.0
2025-03-10,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-10,4:00-8:00,2500.0,4387.488196887487,9300.0,6675.0131145694595
2025-03-10,8:00-12:00,5861.118679120951,4927.511803112513,6675.0131145694595,6475.006811208857
2025-03-10,12:00-16:00,5940.929622230178,919.6591240944133,6475.006811208857,10800.0
2025-03-10,16:00-20:00,0.0,5636.628099342741,10800.0,4537.079889619177
2025-03-10,20:00-24:00,0.0,3003.3719006572596,4537.079889619177,1200.0
2025-03-11,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-11,4:00-8:00,2500.0,4945.633395098262,9300.0,6054.851783224153
2025-03-11,8:00-12:00,6050.2966840682475,4375.86545525745,6054.851783224153,6638.046070821743
2025-03-11,12:00-16:00,5411.02554325064,637.1721537725866,6638.046070821743,10800.0
2025-03-11,16:00-20:00,0.0,5654.0162818710705,10800.0,4517.759686809921
2025-03-11,20:00-24:00,0.0,2985.983718128928,4517.759686809921,1200.0
2025-03-12,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-12,4:00-8:00,2005.582379855925,5056.119362117862,9300.0,5487.113739517152
2025-03-12,8:00-12:00,5949.434670183669,3858.402365565436,5487.113739517152,6554.491203165302
2025-03-12,12:00-16:00,5595.834523428923,711.6680468262002,6554.491203165302,10800.0
2025-03-12,16:00-20:00,0.0,5662.791083376272,10800.0,4508.009907359696
2025-03-12,20:00-24:00,0.0,2977.2089166237256,4508.009907359696,1200.0
2025-03-13,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-13,4:00-8:00,2500.0,4935.237856806015,9300.0,6066.40238132665
2025-03-13,8:00-12:00,6003.942048047351,4379.762143193985,6066.40238132665,6603.547843242616
2025-03-13,12:00-16:00,5287.24960604158,505.8652398120345,6603.547843242616,10800.0
2025-03-13,16:00-20:00,0.0,5670.916480666993,10800.0,4498.9816881477855
2025-03-13,20:00-24:00,0.0,2969.0835193330076,4498.9816881477855,1200.0
2025-03-14,0:00-4:00,6032.314124413101,0.0,1200.0,6629.0827119717915
2025-03-14,4:00-8:00,833.3333333333333,5513.962910812201,6629.0827119717915,1252.4572555137902
2025-03-14,8:00-12:00,4199.138974847593,47.211529962411205,1252.4572555137902,4979.225077362834
2025-03-14,12:00-16:00,6467.527691819071,0.0,4979.225077362834,10800.0
2025-03-14,16:00-20:00,0.0,6161.084634333908,10800.0,3954.350406295658
2025-03-14,20:00-24:00,0.0,2478.915365666093,3954.350406295658,1200.0
2025-03-15,0:00-4:00,6832.278313909192,0.0,1200.0,7349.050482518273
2025-03-15,4:00-8:00,1666.6666666666665,4877.726188865052,7349.050482518273,3429.354717112659
2025-03-15,8:00-12:00,3441.6831913863098,85.06780139645186,3429.354717112659,6432.349810030948
2025-03-15,12:00-16:00,4876.980441808371,19.4689868926323,6432.349810030948,10800.0
2025-03-15,16:00-20:00,0.0,6271.876082228633,10800.0,3831.248797523741
2025-03-15,20:00-24:00,0.0,2368.123917771367,3831.248797523741,1200.0
2025-03-16,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-16,4:00-8:00,2500.0,4439.753996369215,9300.0,6616.9400040342025
2025-03-16,8:00-12:00,5833.333333333333,4462.652887508322,6616.9400040342025,6908.436795691622
2025-03-16,12:00-16:00,5926.7339908313925,1298.247648695889,6908.436795691622,10800.0
2025-03-16,16:00-20:00,0.0,5661.065382417987,10800.0,4509.927352868902
2025-03-16,20:00-24:00,0.0,2978.934617582011,4509.927352868902,1200.0
2025-03-17,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-17,4:00-8:00,2500.0,4448.851583818406,9300.0,6606.831573535105
2025-03-17,8:00-12:00,5833.333333333333,4841.134948568921,6606.831573535105,6477.792741791861
2025-03-17,12:00-16:00,5846.53243190466,845.7047374554526,6477.792741791861,10800.0
2025-03-17,16:00-20:00,0.0,5676.494107707824,10800.0,4492.784324769083
2025-03-17,20:00-24:00,0.0,2963.5058922921744,4492.784324769083,1200.0
2025-03-18,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-18,4:00-8:00,2500.0,4374.399631637663,9300.0,6689.55596484704
2025-03-18,8:00-12:00,5833.333333333333,4754.238871825985,6689.55596484704,6657.068329484833
2025-03-18,12:00-16:00,5833.333333333333,996.3614965363524,6657.068329484833,10800.0
2025-03-18,16:00-20:00,0.0,5691.6170351700775,10800.0,4475.981072033247
2025-03-18,20:00-24:00,0.0,2948.3829648299215,4475.981072033247,1200.0
2025-03-19,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-19,4:00-8:00,2500.0,4658.871392081209,9300.0,6373.476231020879
2025-03-19,8:00-12:00,5833.333333333333,4506.516533798158,6373.476231020879,6616.235637911814
2025-03-19,12:00-16:00,5895.410510263034,1009.8945874336891,6616.235637911814,10800.0
2025-03-19,16:00-20:00,0.0,5662.6871278171875,10800.0,4508.125413536459
2025-03-19,20:00-24:00,0.0,2977.3128721828134,4508.125413536459,1200.0
2025-03-20,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-20,4:00-8:00,2488.869408384715,4739.634329935205,9300.0,6273.722100951572
2025-03-20,8:00-12:00,5833.333333333333,4566.349890856414,6273.722100951572,6450.0
2025-03-20,12:00-16:00,5833.333333333333,809.9999999999986,6450.0,10800.0
2025-03-20,16:00-20:00,0.0,5644.343217260648,10800.0,4528.507536377057
2025-03-20,20:00-24:00,0.0,2995.656782739351,4528.507536377057,1200.0
2025-03-21,0:00-4:00,5915.912921088199,0.0,1200.0,6524.32162897938
2025-03-21,4:00-8:00,833.3333333333333,4594.0591932420575,6524.32162897938,2169.811414265983
2025-03-21,8:00-12:00,4563.171590867085,60.259817803404545,2169.811414265983,6209.7104929314655
2025-03-21,12:00-16:00,5100.321674520591,0.0,6209.7104929314655,10800.0
2025-03-21,16:00-20:00,0.0,6161.291628945973,10800.0,3954.120412282251
2025-03-21,20:00-24:00,0.0,2478.708371054025,3954.120412282251,1200.0
2025-03-22,0:00-4:00,6666.666666666666,0.0,1200.0,7200.0
2025-03-22,4:00-8:00,1484.2877469930459,4451.135533021455,7200.0,3590.1528244921255
2025-03-22,8:00-12:00,3249.101013070085,47.519823370219086,3590.1528244921255,6461.543932510516
2025-03-22,12:00-16:00,4820.506741654985,0.0,6461.543932510516,10800.0
2025-03-22,16:00-20:00,0.0,6204.942010436148,10800.0,3905.61998840428
2025-03-22,20:00-24:00,0.0,2435.0579895638516,3905.61998840428,1200.0
2025-03-23,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-23,4:00-8:00,2324.429216881374,4756.013806049306,9300.0,6107.526510694006
2025-03-23,8:00-12:00,5833.333333333333,4032.4233790227117,6107.526510694006,6877.056089557658
2025-03-23,12:00-16:00,5833.333333333333,1194.35048060189,6877.056089557658,10800.0
2025-03-23,16:00-20:00,0.0,5688.385087959636,10800.0,4479.572124489294
2025-03-23,20:00-24:00,0.0,2951.6149120403643,4479.572124489294,1200.0
2025-03-24,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-24,4:00-8:00,1843.2068984438615,4639.538923231925,9300.0,5803.842960564002
2025-03-24,8:00-12:00,5833.333333333333,3938.110338935878,5803.842960564002,6678.164806190804
2025-03-24,12:00-16:00,5833.333333333333,1015.3483255717229,6678.164806190804,10800.0
2025-03-24,16:00-20:00,0.0,5690.875785496761,10800.0,4476.804682781378
2025-03-24,20:00-24:00,0.0,2949.12421450324,4476.804682781378,1200.0
2025-03-25,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-25,4:00-8:00,1899.1764261433004,4576.224262635188,9300.0,5924.565158378759
2025-03-25,8:00-12:00,5833.333333333333,4252.108642540883,5924.565158378759,6450.0
2025-03-25,12:00-16:00,5897.0659153976185,861.6233914720704,6450.0,10800.0
2025-03-25,16:00-20:00,0.0,5674.941230413613,10800.0,4494.509743984873
2025-03-25,20:00-24:00,0.0,2965.058769586386,4494.509743984873,1200.0
2025-03-26,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-26,4:00-8:00,1666.6666666666665,4719.4337631427015,9300.0,5556.1847076192225
2025-03-26,8:00-12:00,5850.828489641108,3739.968069610034,5556.1847076192225,6666.410270951737
2025-03-26,12:00-16:00,5837.4240333006455,1008.0827108300865,6666.410270951737,10800.0
2025-03-26,16:00-20:00,0.0,5607.744555830629,10800.0,4569.172715743745
2025-03-26,20:00-24:00,0.0,3032.2554441693705,4569.172715743745,1200.0
2025-03-27,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-27,4:00-8:00,2500.0,4629.756954291883,9300.0,6405.825606342353
2025-03-27,8:00-12:00,5858.302097247546,4380.755617785608,6405.825606342353,6810.791251881136
2025-03-27,12:00-16:00,5862.108310517455,1158.019858212163,6810.791251881136,10800.0
2025-03-27,16:00-20:00,0.0,5696.138759483927,10800.0,4470.9569339067475
2025-03-27,20:00-24:00,0.0,2943.8612405160725,4470.9569339067475,1200.0
2025-03-28,0:00-4:00,4851.836095528235,0.0,1200.0,5566.652485975412
2025-03-28,4:00-8:00,833.3333333333333,4358.151296124017,5566.652485975412,1474.262156948725
2025-03-28,8:00-12:00,5290.472414043006,24.070891974636496,1474.262156948725,6208.941894060056
2025-03-28,12:00-16:00,5101.1756732666045,0.0,6208.941894060056,10800.0
2025-03-28,16:00-20:00,0.0,6277.910868484815,10800.0,3824.5434794613166
2025-03-28,20:00-24:00,0.0,2362.0891315151844,3824.5434794613166,1200.0
2025-03-29,0:00-4:00,4066.192756301809,0.0,1200.0,4859.573480671628
2025-03-29,4:00-8:00,833.3333333333333,3968.6161326044657,4859.573480671628,1200.0
2025-03-29,8:00-12:00,2533.2631002245403,0.0,1200.0,3479.9367902020863
2025-03-29,12:00-16:00,8133.403566442124,0.0,3479.9367902020863,10800.0
2025-03-29,16:00-20:00,0.0,6241.236931486183,10800.0,3865.292298348685
2025-03-29,20:00-24:00,0.0,2398.7630685138165,3865.292298348685,1200.0
2025-03-30,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-30,4:00-8:00,1666.6666666666665,5700.857034549592,9300.0,4465.714406056009
2025-03-30,8:00-12:00,5999.256136467319,2725.535119629605,4465.714406056009,6836.672573732591
2025-03-30,12:00-16:00,5105.465652391994,568.4324947968461,6836.672573732591,10800.0
2025-03-30,16:00-20:00,0.0,5705.087104076634,10800.0,4461.01432880374
2025-03-30,20:00-24:00,0.0,2934.9128959233653,4461.01432880374,1200.0
2025-03-31,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-31,4:00-8:00,1666.6666666666665,5721.472242825381,9300.0,4442.808619082908
2025-03-31,8:00-12:00,6167.744586099208,2918.527757174618,4442.808619082908,6750.970127489289
2025-03-31,12:00-16:00,5069.076759229088,461.82528971591927,6750.970127489289,10800.0
2025-03-31,16:00-20:00,0.0,5671.6599314893265,10800.0,4498.155631678526
2025-03-31,20:00-24:00,0.0,2968.3400685106735,4498.155631678526,1200.0
2025-04-01,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-04-01,4:00-8:00,1717.9949261632553,4808.491390905507,9300.0,5503.4272214297
2025-04-01,8:00-12:00,5909.627252863958,3873.084499286731,5503.4272214297,6518.664527577563
2025-04-01,12:00-16:00,5202.413419295493,360.7529444491579,6518.664527577563,10800.0
2025-04-01,16:00-20:00,0.0,5677.254907962875,10800.0,4491.93899115236
2025-04-01,20:00-24:00,0.0,2962.745092037125,4491.93899115236,1200.0
2025-04-02,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-04-02,4:00-8:00,1666.6666666666665,5784.595261654282,9300.0,4372.6719314952425
2025-04-02,8:00-12:00,6559.427177877327,2855.404738345718,4372.6719314952425,7103.484460089594
2025-04-02,12:00-16:00,4617.244682481141,413.1042068903584,7103.484460089594,10800.0
