date,method,lp_status,lp_message,lp_objective_yuan,expected_cost_yuan,cleanup_objective_difference_yuan,cleanup_state_max_abs_kwh,simultaneous_periods_before_cleanup,simultaneous_periods_after_cleanup,horizon_periods,scenario_count,planning_initial_kwh,planning_terminal_kwh,seconds,latest_input_date,scenario_first_origin,scenario_last_origin,scenario_last_observed_date
2025-02-23,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),98674.28439244407,98674.2843924442,1.3096723705530167e-10,3.637978807091713e-12,0,0,288,28,8549.999999999998,6000.0,0.09340270000393502,2025-02-22,2025-01-25,2025-02-21,2025-02-22
2025-02-23,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),92341.5772114894,92341.57721148945,4.3655745685100555e-11,4.092726157978177e-12,0,0,288,1,8550.0,6000.0,0.011054099988541566,2025-02-22,2025-01-25,2025-02-21,2025-02-22
2025-02-23,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),50068.307102868275,50068.30710286823,-4.3655745685100555e-11,1.8189894035458565e-12,0,0,144,28,6000.0,6000.0,0.045531299998401664,2025-02-22,2025-01-25,2025-02-21,2025-02-22
2025-02-24,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),99312.84318197802,99312.84318197808,5.820766091346741e-11,5.4569682106375694e-12,0,0,288,28,8550.000000000002,6000.0,0.09709389999625273,2025-02-23,2025-01-26,2025-02-22,2025-02-23
2025-02-24,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),92783.42217046734,92783.42217046733,-1.4551915228366852e-11,6.366462912410498e-12,0,0,288,1,8549.999999999996,6000.0,0.01263729999482166,2025-02-23,2025-01-26,2025-02-22,2025-02-23
2025-02-24,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),50360.23899457505,50360.23899457499,-5.820766091346741e-11,5.4569682106375694e-12,0,0,144,28,6000.0,6000.0,0.0434524999873247,2025-02-23,2025-01-26,2025-02-22,2025-02-23
2025-02-25,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),97627.62561628131,97627.62561628119,-1.1641532182693481e-10,3.637978807091713e-12,0,0,288,28,8549.999999999998,6000.0,0.0948493000032613,2025-02-24,2025-01-27,2025-02-23,2025-02-24
2025-02-25,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),91204.45415503654,91204.45415503657,2.9103830456733704e-11,7.275957614183426e-12,0,0,288,1,8549.999999999996,6000.0,0.01242169999750331,2025-02-24,2025-01-27,2025-02-23,2025-02-24
2025-02-25,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),49577.33048987321,49577.33048987317,-3.637978807091713e-11,1.8189894035458565e-12,0,0,144,28,5999.999999999996,6000.0,0.045194000005722046,2025-02-24,2025-01-27,2025-02-23,2025-02-24
2025-02-26,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),95389.36461352865,95389.36461352868,2.9103830456733704e-11,3.637978807091713e-12,0,0,288,28,8550.0,6000.0,0.10060269999667071,2025-02-25,2025-01-28,2025-02-24,2025-02-25
