date,method,grid_plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,energy_start_kwh,energy_end_kwh,emergency_periods,energy_min_kwh,energy_max_kwh
2025-04-26,stochastic_24h,27404.802992399265,16000.0,12960.000000000004,387.2348348443222,24681.844193910256,13386.285203908708,1595.783420651715,14982.068624560423,6000.0000000000055,6000.000000000004,28,1200.0,10800.000000000002
2025-04-27,stochastic_48h,57231.610417962904,19945.711475754648,16156.02629536126,1281.8095406813864,6150.263594917578,33724.52812623047,5284.933665286973,39009.461791517446,8550.000000000004,8550.000000000011,40,1200.00000000001,10800.000000000007
2025-04-27,deterministic_48h,50128.105382673646,18529.910717609546,15282.984892445053,3566.1120611721635,1873.820435347985,30095.548836694343,14976.517736748112,45072.066573442455,7950.000000000004,7645.825320909651,88,1200.0000000000018,10800.000000000004
2025-04-27,no_storage,60062.03852522893,0.0,0.0,1405.5772287087905,12894.144570604392,46417.87444764214,5921.65243904757,52339.52688668972,6000.0,6000.0,42,6000.0,6000.0
2025-04-27,stochastic_24h,57231.610417962904,19945.71147575464,16156.02629536126,1281.8095406813861,6150.263594917578,33732.87812623047,5284.933665286972,39017.811791517444,6000.000000000004,6000.0000000000055,40,1200.0000000000055,10800.000000000004
2025-04-28,stochastic_48h,57632.8153633283,20030.467756913917,16224.678883100274,5034.252190750911,2239.311363598902,34094.73859378371,17662.015706166712,51756.75429995042,8550.000000000011,8550.000000000013,58,1200.0000000000127,10800.000000000013
2025-04-28,deterministic_48h,51191.67742027597,19068.64967279428,15368.24125856227,9824.276215567765,693.5779049450555,30703.36516514567,36818.110874298356,67521.47603944402,7645.825320909651,7731.786405799761,99,1200.0000000000027,10800.000000000004
2025-04-28,no_storage,60794.39420187729,0.0,0.0,1663.1247076465168,5835.551592857144,46967.766200939994,7484.500673757174,54452.26687469717,6000.0,6000.0,36,6000.0,6000.0
2025-04-28,stochastic_24h,57632.81536332829,20030.46775691391,16224.678883100274,5034.252190750911,2239.311363598903,34103.08859378371,17662.015706166712,51765.10429995043,6000.0000000000055,6000.0,58,1200.0,10800.0
2025-04-29,stochastic_48h,59634.98825773865,19837.952765511232,16068.741740064102,570.1168895146527,9002.680405139508,35280.848300999976,2289.287226205086,37570.13552720507,8550.000000000013,8550.000000000011,20,1200.000000000011,10800.000000000013
2025-04-29,deterministic_48h,52927.01089662529,19276.444833163747,15417.528080082415,1868.0347342032956,3502.9151610805848,31616.987200360913,7126.1444371112175,38743.131637472135,7731.786405799761,7950.0000000000055,54,1200.0000000000055,10800.000000000004
2025-04-29,no_storage,61312.209547435894,0.0,0.0,565.2872103479862,14444.283041117214,47546.35389828103,2266.645690271753,49812.999588552775,6000.0,6000.0,20,6000.0,6000.0
2025-04-29,stochastic_24h,59634.98825773865,19837.952765511232,16068.741740064102,570.1168895146527,9002.68040513951,35289.19830099998,2289.287226205086,37578.48552720508,6000.0,5999.999999999999,20,1199.999999999999,10800.0
2025-04-30,stochastic_48h,59299.17926696286,19142.97583056177,15505.810422755034,813.6918239011014,8218.8512497239,35171.395483838365,2566.671291933869,37738.066775772226,8550.000000000011,8550.000000000013,31,1200.0000000000127,10800.000000000011
2025-04-30,deterministic_48h,51420.63377116673,18040.75214355684,15000.35154157509,3411.983904578755,3535.362640430404,31039.882811130698,11411.199713789585,42451.08252492028,7950.0000000000055,7519.619660784399,57,1200.0000000000027,10800.0
2025-04-30,no_storage,61320.73359743589,0.0,0.0,249.48725073260078,13313.366414835164,47338.13534134911,913.4165293996107,48251.55187074871,6000.0,6000.0,19,6000.0,6000.0
2025-04-30,stochastic_24h,59299.17926696286,19142.97583056177,15505.810422755034,813.6918239011014,8218.8512497239,35179.74548383836,2566.671291933869,37746.416775772224,5999.999999999999,5999.999999999995,31,1199.9999999999955,10800.0
2025-05-01,stochastic_48h,52036.056446037954,12296.441668690366,15446.255714194136,2579.485122802199,6753.976814343935,32078.834990859876,12193.43124589714,44272.266236757016,8550.000000000013,2454.2911527167453,64,1200.0000000000182,10800.000000000018
2025-05-01,deterministic_48h,45720.82439165433,12447.549499255067,14928.073537408425,5185.217794505495,2375.187424313186,28589.058071299878,23905.48684297136,52494.54491427124,7519.619660784399,2135.665835215713,94,1200.0000000000027,10800.000000000002
2025-05-01,no_storage,60724.01901488095,0.0,0.0,2810.6795826465204,12523.31979752747,47029.105087545,13360.420842722137,60389.52593026714,6000.0,6000.0,69,6000.0,6000.0
2025-05-01,stochastic_24h,58809.06627635271,19069.451499005118,15446.255714194136,2579.4851228021994,6753.976814343934,34950.083572496296,12193.431245897142,47143.51481839343,5999.999999999995,6000.000000000002,64,1200.0000000000018,10800.000000000004
2025-05-02,stochastic_48h,26886.950703786213,13166.373166881453,10575.104924267398,3008.9919740842493,13014.354351923073,13282.826700034311,13625.788657491641,26908.615357525952,2454.2911527167453,2553.910420390721,70,1200.0000000000005,10800.0
2025-05-02,deterministic_48h,24892.535784236075,12723.408701589564,10274.126358287547,7212.294651007326,15365.22800860805,12015.470007175842,32235.80756645247,44251.277573628315,2135.665835215713,2171.037712993485,95,1199.9999999999977,10800.0
2025-05-02,no_storage,34832.696173534794,0.0,0.0,2596.494634249084,23138.870724450546,25008.620380374512,12263.733520758491,37272.35390113301,6000.0,6000.0,61,6000.0,6000.0
2025-05-02,stochastic_24h,27383.94586648352,16000.0,12960.0,2981.236569322344,13034.862352472523,13488.798233405196,13501.447677187381,26990.24591059258,6000.000000000002,6000.000000000002,69,1200.0000000000018,10800.000000000002
2025-05-03,stochastic_48h,33947.96033980916,19807.7992282707,10647.836753250915,1692.015581364468,17612.841796153843,16403.48563769665,8625.740838992555,25029.226476689204,2553.910420390721,8550.0,42,1200.0000000000002,10800.000000000002
2025-05-03,deterministic_48h,31798.346328664025,19331.306125733616,10301.47788191392,3858.583840201464,17759.930275045786,15022.0535216304,17995.222227096652,33017.27574872706,2171.037712993485,8123.126690693835,81,1200.0000000000002,10800.0
2025-05-03,no_storage,35333.33716826922,0.0,0.0,1761.8522905677644,28228.017808836994,25404.403596012933,9019.829537396103,34424.233133409034,6000.0,6000.0,44,6000.0,6000.0
2025-05-03,stochastic_24h,27882.436369688643,16000.000000000002,12960.000000000002,1685.7092811355305,17660.97400082417,13836.533030290026,8607.74265813917,22444.275688429192,6000.000000000002,6000.000000000004,42,1200.0,10800.000000000004
2025-05-04,stochastic_48h,62578.36234580507,20169.107561784927,16336.97712504579,1879.7648016483527,8891.329377380951,36913.1372991673,8847.67922731626,45760.81652648356,8550.0,8550.000000000004,52,1200.0000000000027,10800.000000000004
2025-05-04,deterministic_48h,55086.10367142981,19665.90757188769,15545.199154853479,4107.587667399268,3338.3155884615367,32612.384447281373,16989.416659320057,49601.80110660143,8123.126690693835,8550.0,82,1200.0,10800.0
2025-05-04,no_storage,62401.67216217948,0.0,0.0,1879.7648016483522,12546.769630494506,48418.43081622327,8847.679227316261,57266.110043539535,6000.0,6000.0,52,6000.0,6000.0
2025-05-04,stochastic_24h,62578.36234580506,20169.10756178492,16336.97712504579,1879.7648016483524,8891.329377380951,36921.4872991673,8847.679227316261,45769.16652648356,6000.000000000004,6000.000000000003,52,1200.0000000000027,10800.000000000004
2025-05-05,stochastic_48h,63019.89495549789,19856.692596248813,16083.921002961539,2304.955040934065,6476.071603144691,37123.87976859804,10553.161027025384,47677.04079562342,8550.000000000004,8550.000000000002,61,1200.0000000000018,10800.000000000004
2025-05-05,deterministic_48h,55081.62531503866,18960.1815038665,15357.74701813187,5830.838381410255,2234.0224107142876,32626.434481761193,26893.96084219223,59520.395323953424,8550.0,8549.999999999998,95,1199.9999999999982,10800.0
2025-05-05,no_storage,62529.824283699636,0.0,0.0,2441.0665368589734,9894.884020558608,48417.93201838575,11275.950315890972,59693.88233427672,6000.0,6000.0,64,6000.0,6000.0
2025-05-05,stochastic_24h,63019.89495549789,19856.69259624881,16083.921002961539,2304.955040934065,6476.071603144692,37132.229768598045,10553.161027025384,47685.39079562342,6000.000000000003,5999.999999999999,61,1199.999999999999,10800.0
2025-05-06,stochastic_48h,63193.210426336875,20345.466394880834,16479.82777985348,1936.146684569596,8393.636129212453,37364.44421167517,8345.524726201507,45709.96893787666,8550.000000000002,8550.0,59,1199.999999999999,10800.000000000002
2025-05-06,deterministic_48h,55107.40067442849,19376.15066018857,15694.682034752746,4854.164028479855,3410.0137108058607,32701.05549065701,21584.233528525743,54285.28901918275,8549.999999999998,8549.999999999995,94,1199.9999999999945,10799.999999999998
2025-05-06,no_storage,62773.5937095696,0.0,0.0,2097.188120100733,12000.699463003662,48845.28305163905,9216.474202404079,58061.75725404313,6000.0,6000.0,63,6000.0,6000.0
2025-05-06,stochastic_24h,63193.210426336875,20345.466394880837,16479.82777985348,1936.1466845695961,8393.636129212453,37372.794211675166,8345.524726201507,45718.31893787667,5999.999999999999,5999.999999999997,59,1199.9999999999973,10800.0
2025-05-07,stochastic_48h,64089.470710844296,21075.640085752726,17071.268469459705,1669.3531242673985,6686.606268818681,37834.1627496369,8399.894969599056,46234.057719235956,8550.0,8550.0,52,1200.0,10800.0
2025-05-07,deterministic_48h,55636.77879435287,19752.484558913307,15999.512492719781,4717.061570375458,1533.022348534798,32840.49426640558,21753.737270631525,54594.2315370371,8549.999999999995,8549.999999999993,95,1199.9999999999918,10799.999999999995
2025-05-07,no_storage,63662.60044267398,0.0,0.0,1669.9523509157493,10264.706843589742,49558.28093976107,8451.267386733489,58009.54832649455,6000.0,6000.0,51,6000.0,6000.0
2025-05-07,stochastic_24h,64089.470710844296,21075.640085752726,17071.268469459705,1669.3531242673976,6686.606268818681,37842.512749636895,8399.894969599056,46242.407719235955,5999.999999999997,6000.000000000001,52,1200.000000000001,10800.0
2025-05-08,stochastic_48h,59029.153788850155,15435.488061135417,17372.99184760577,1303.1307003205125,6443.275875641022,36337.407910677255,5546.00057422241,41883.40848489966,8550.0,3138.614979904356,38,1200.0000000000018,10800.000000000002
2025-05-08,deterministic_48h,50115.16439725896,13544.020389612442,16323.848474679486,4664.102159340662,1732.5822416666663,31048.09031143239,18604.461217133714,49652.5515285661,8549.999999999993,2602.0089343406526,97,1199.9999999999936,10799.999999999995
2025-05-08,no_storage,64865.77548337911,0.0,0.0,1044.8170545787552,10084.080137957873,50955.02531921293,4854.220326601398,55809.245645814335,6000.0,6000.0,32,6000.0,6000.0
2025-05-08,stochastic_24h,65041.80381117865,21448.138083463913,17372.99184760577,1303.1307003205125,6443.275875641022,38889.78505671742,5546.00057422241,44435.785630939834,6000.000000000001,6000.000000000002,38,1200.0000000000018,10800.000000000002
2025-05-09,stochastic_48h,28956.346276672655,13455.691631755071,10983.30843731685,500.09830599816803,18484.6755382326,14960.351361255125,2417.1940895640096,17377.545450819132,3138.614979904356,3045.0614070207566,26,1199.9999999999995,10799.999999999998
2025-05-09,deterministic_48h,25676.54124406798,12922.179949837206,10543.729286401096,2392.9746912545775,17191.679421886445,12582.361455735316,11399.497824188891,23981.859279924207,2602.0089343406526,2516.716126526255,64,1199.9999999999998,10800.0
2025-05-09,no_storage,37023.37791130952,0.0,0.0,536.1114851648349,29060.103546474355,27052.708466125245,2668.4220274306776,29721.130493555924,6000.0,6000.0,26,6000.0,6000.0
2025-05-09,stochastic_24h,29541.890259523807,15999.999999999996,12960.000000000004,500.09830599816803,18502.602715521978,15207.2159988218,2417.1940895640096,17624.410088385812,6000.000000000002,5999.999999999998,26,1199.9999999999982,10799.999999999996
2025-05-10,stochastic_48h,35181.56966743601,19673.865617939675,10981.386416849817,727.1077891025647,15095.152972115382,17600.026426792538,2967.7608692049016,20567.78729599744,3045.0614070207566,8550.0,37,1200.0,10800.0
2025-05-10,deterministic_48h,32385.616822951426,19703.92452652285,10530.22338035714,4235.5653794871805,15326.43577293956,15378.877335485467,18612.033458335216,33990.91079382068,2516.716126526255,8550.0,80,1200.0,10799.999999999998
2025-05-10,no_storage,37047.82021529303,0.0,0.0,643.7978069139192,25570.572738873627,27082.57666615864,2647.3942942688395,29729.970960427476,6000.0,6000.0,35,6000.0,6000.0
