date,original_cost,published_cost,saving_yuan,cumulative_saving_yuan
2025-08-28,57063.538633,57063.538633,0,12861.8943389
2025-08-29,26469.8529117,26469.8529117,0,12861.8943389
2025-08-30,29630.6397608,29630.6397608,0,12861.8943389
2025-08-31,51088.9097834,51088.9097834,0,12861.8943389
2025-09-01,50342.1803447,50342.1803447,0,12861.8943389
2025-09-02,47949.5021351,47949.5021351,0,12861.8943389
2025-09-03,46425.5207218,46425.5207218,0,12861.8943389
2025-09-04,42668.5120379,42668.5120379,0,12861.8943389
2025-09-05,19808.5625875,19808.5625875,0,12861.8943389
2025-09-06,21429.5656238,21429.5656238,0,12861.8943389
2025-09-07,43120.6917643,43120.6917643,0,12861.8943389
2025-09-08,52559.3337614,52559.3337614,0,12861.8943389
2025-09-09,45399.0510286,45399.0510286,0,12861.8943389
2025-09-10,50106.0034501,50106.0034501,0,12861.8943389
2025-09-11,41243.143338,41243.143338,0,12861.8943389
2025-09-12,19496.7283365,19496.7283365,0,12861.8943389
2025-09-13,22594.9739133,22594.9739133,0,12861.8943389
2025-09-14,45753.7691675,45753.7691675,0,12861.8943389
2025-09-15,45740.694691,45740.694691,0,12861.8943389
2025-09-16,47513.4204568,47513.4204568,0,12861.8943389
2025-09-17,45171.8327494,45171.8327494,0,12861.8943389
2025-09-18,42738.9422277,42738.9422277,0,12861.8943389
2025-09-19,20375.9745551,20375.9745551,0,12861.8943389
2025-09-20,22787.2949483,22787.2949483,0,12861.8943389
2025-09-21,45939.880367,45939.880367,0,12861.8943389
2025-09-22,48266.3826696,48266.3826696,0,12861.8943389
2025-09-23,48722.4106544,48722.4106544,0,12861.8943389
2025-09-24,46098.2625091,46098.2625091,0,12861.8943389
2025-09-25,45746.8905866,45746.8905866,0,12861.8943389
2025-09-26,20065.5794195,20065.5794195,0,12861.8943389
2025-09-27,23091.6958382,23091.6958382,0,12861.8943389
2025-09-28,47415.7107656,47415.7107656,0,12861.8943389
2025-09-29,48917.0309671,48917.0309671,0,12861.8943389
2025-09-30,49399.1877423,49399.1877423,0,12861.8943389
2025-10-01,46597.2312079,46597.2312079,0,12861.8943389
2025-10-02,43740.2765514,43740.2765514,0,12861.8943389
2025-10-03,18661.6553006,18661.6553006,0,12861.8943389
2025-10-04,20587.3522583,20587.3522583,0,12861.8943389
2025-10-05,43162.9017902,43162.9017902,0,12861.8943389
2025-10-06,42745.1422775,42745.1422775,0,12861.8943389
2025-10-07,42432.2146643,42432.2146643,0,12861.8943389
2025-10-08,42472.1463226,42472.1463226,0,12861.8943389
2025-10-09,40117.7248865,40117.7248865,0,12861.8943389
2025-10-10,18127.0999993,18127.0999993,0,12861.8943389
2025-10-11,19779.4985904,19779.4985904,0,12861.8943389
2025-10-12,43394.8889593,43394.8889593,0,12861.8943389
2025-10-13,43416.6867891,43416.6867891,0,12861.8943389
2025-10-14,44155.4096621,44155.4096621,0,12861.8943389
2025-10-15,46545.7839403,46545.7839403,0,12861.8943389
