date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots,sample_count,max_history_day,clipped_scenario_price_count,horizon_expected_cost_yuan,solver_status,raw_simultaneous_slots
2025-03-05,46788.78859988473,658.2421718013641,47447.030771686084,74929.9945477935,28107.220946097324,26006.639123605863,153.0864017882223,6852.027110423598,7637.72233983162,6889.168767129793,14,56,2025-03-04,0,94571.07239246136,0,0
2025-03-06,44705.273000566776,955.1421495978408,45660.41515016462,69617.20771086564,22678.85353722568,25058.18757266978,238.69479177981754,6294.582404756222,6889.168767129793,1990.569415042095,23,56,2025-03-05,0,61193.83291834172,0,0
2025-03-07,15038.110834521576,371.1325342169823,15409.243368738558,39558.89916593017,26733.41877088622,18060.0768937976,156.6297418639463,10119.901497372157,1990.569415042095,8315.124735378855,15,56,2025-03-06,0,25849.779832263266,0,0
2025-03-08,13569.932061457986,756.6843593202464,14326.616420778233,35232.20138499671,26671.46963615575,21754.322672540176,289.7662712313874,11541.681175945858,8315.124735378855,10686.83298050514,22,56,2025-03-07,0,57790.27648051404,0,0
2025-03-09,44222.55156934133,837.1356658127966,45059.68723515413,72022.47125548743,27153.096440291316,25937.786796262186,211.31576028541008,7684.952321743711,10686.83298050514,9105.69415042095,16,56,2025-03-08,0,90771.49338115218,0,0
2025-03-10,44239.377392596136,7355.263411151694,51594.64080374783,68624.25560632639,22311.00451643945,22972.544403510572,2005.68061051134,3249.404653908857,9105.69415042095,6056.58350974743,55,56,2025-03-09,0,90486.10908054418,0,0
2025-03-11,45310.62924420339,2177.7971794678174,47488.42642367121,73728.08945385044,27239.501137299478,23015.551023569533,524.4220773588751,6089.6426174793705,6056.58350974743,7637.72233983162,30,56,2025-03-10,0,89163.32848438852,0,0
2025-03-12,43372.80817785879,1520.0012255889733,44892.809403447754,70929.26667648605,26087.654877217105,24336.249050780323,434.5797924178016,7176.905959133742,7637.72233983162,6733.985905294665,26,56,2025-03-11,0,87308.69415279615,0,0
2025-03-13,42202.855550955835,11296.259200461525,53499.11475141736,66326.12449048545,23598.78388888046,25738.905499992416,2651.920783375963,3572.548868306716,6733.985905294665,1990.569415042095,55,56,2025-03-12,0,57945.88670730302,0,0
2025-03-14,13595.500230528425,504.03180598024505,14099.53203650867,37403.976254905334,27753.727667300038,20179.1120672367,187.49349836734794,13987.428169876008,1990.569415042095,7049.415547566495,17,56,2025-03-13,0,24186.308003034712,0,0
2025-03-15,13474.465471519876,1598.7587877270414,15073.224259246917,34850.978412776516,25651.89752150329,20208.215436019625,528.8646005779796,9012.035777870833,7049.415547566495,10083.612881121813,31,56,2025-03-14,0,53368.40252529515,0,0
2025-03-16,42494.17434172936,2824.3162510295074,45318.49059275887,68945.76773602034,24804.13395149551,24058.98927006102,702.5860533809731,5552.162174633489,10083.612881121813,8254.479051865052,32,56,2025-03-15,0,86875.37634211591,0,0
2025-03-17,41836.042830155566,741.8963356630308,42577.9391658186,70070.70407136883,25301.65439476671,23463.95540824163,190.95634782312993,10565.829999333548,8254.479051865052,7524.55532033676,12,56,2025-03-16,0,85235.05322751698,0,0
2025-03-18,41349.89545451846,4263.774506784814,45613.669961303276,68188.05334976473,24275.415149583172,23138.236634624853,786.0630316685282,6710.979499808268,7524.55532033676,6164.393290867476,27,56,2025-03-17,0,84108.84307397189,0,0
2025-03-19,42036.12005221994,1519.2126635841912,43555.332715804136,70966.90610389816,27274.298158817233,23256.50534293551,319.2173968055557,7802.860234821991,6164.393290867476,7524.55532033676,19,56,2025-03-18,0,83190.27573522269,0,0
2025-03-20,39194.98898978087,2839.5350753945304,42034.5240651754,63132.20601238098,22013.659739114537,25062.293765203085,677.6254047443507,4649.5036265472145,7524.55532033676,1990.569415042095,33,56,2025-03-19,0,54499.66054690792,0,0
2025-03-21,13476.3114681349,726.7036948608115,14203.015162995713,37159.87399961891,26126.590102454407,17513.931092208968,263.7095089678172,16777.45998167462,1990.569415042095,8315.124735378855,23,56,2025-03-20,0,23028.769315841408,0,0
2025-03-22,12666.505537602923,575.8231276988435,13242.328665301766,33385.803269973745,24989.89664872755,20133.547322569862,253.6548776856574,12901.909088168386,8315.124735378855,10800.0,18,56,2025-03-21,0,49762.37341876428,0,0
2025-03-23,38153.86051537424,3176.7920413347365,41330.65255670897,63142.55163935537,23087.120225029365,23715.080863811363,799.8412892106005,5800.633450681309,10800.0,7704.475215997147,41,56,2025-03-22,0,79134.4636618548,0,0
2025-03-24,37773.27910564402,2274.5133616677963,40047.79246731181,62661.20652418991,22484.32613984418,23067.499960026427,643.4304098256815,5889.313670864511,7704.475215997147,4719.6999596123815,27,56,2025-03-23,0,78066.27572193212,0,0
2025-03-25,38907.72870980092,4639.270672219834,43546.99938202075,64851.95608163656,23221.9320749422,21988.81943328132,1188.1649514174544,3856.8836747264736,4719.6999596123815,3571.708245126285,43,56,2025-03-24,0,78642.03170045897,0,0
2025-03-26,41084.19804061183,528.4836362301243,41612.68167684195,70707.5536958673,26868.796986611775,20324.557626665668,181.40053367913828,8752.160002933677,3571.708245126285,7637.72233983162,16,56,2025-03-25,0,78731.7953817275,0,0
2025-03-27,36490.61303586362,2364.183281650402,38854.79631751402,60066.182545063435,20030.457237973435,23384.771175461017,647.6356508871869,5351.142733438209,7637.72233983162,1990.569415042095,33,56,2025-03-26,0,51123.338672512604,0,0
2025-03-28,12940.87041024563,1111.7910334350465,14052.661443680678,35401.843225214405,25012.534476058205,17685.429445119047,348.7853829591824,17601.642810567762,1990.569415042095,7077.463632796496,18,56,2025-03-27,0,22496.111627099963,0,0
2025-03-29,12495.535892093558,674.7492780597889,13170.285170153345,33815.27081757561,24285.95517920548,18433.211244618265,217.42133231292595,20472.73903196799,7077.463632796496,10686.83298050514,19,56,2025-03-28,0,47192.46767105369,0,0
2025-03-30,35825.754088009584,2136.1514354334304,37961.90552344301,61245.20444816011,23931.919922729277,23788.72793045635,545.2671508645126,6301.659906751701,10686.83298050514,8315.124735378855,23,56,2025-03-29,0,74045.66289431386,0,0
2025-03-31,36305.293117296234,7246.098804724063,43551.391922020295,61255.693180528804,23771.84277074515,22894.658493670635,1763.2816701247173,5190.40109024568,8315.124735378855,6733.985905294665,43,56,2025-03-30,0,73621.50841568649,0,0
