date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots
2025-07-16,64876.190452378585,2717.929064831566,67594.11951721014,86472.1082997365,22034.225600922564,17847.722736747277,677.0248901870752,10828.066942414966,8550.0,8550.0,18
2025-07-17,60292.39146101511,3551.494617870226,63843.886078885334,79389.6845282571,15645.82975264214,17872.3856423102,739.8068806632658,9635.631231921767,8550.0,2773.040508144369,23
2025-07-18,25714.060078749284,436.34312102934933,26150.403199778633,44698.76969435836,13813.826208133869,11246.25261744898,122.33183285714206,10979.279836530612,2773.040508144369,2709.6478538548754,12
2025-07-19,28353.740713372492,818.2088578594369,29171.94957123193,50980.60311648316,20302.778507537583,11188.933659574828,238.19540680272078,14922.13462532313,2709.6478538548754,8550.0,16
2025-07-20,61180.162994623504,2267.9030697657545,63448.06606438926,83508.68944022914,22135.14128521962,17929.46444102789,563.5298281632646,7776.564207534015,8550.0,8550.0,16
2025-07-21,62750.35813957053,3094.0515350261053,65844.40967459664,84322.40007939996,21918.066079996224,17753.63352479694,786.5578861564622,6954.776060357144,8550.0,8550.0,24
2025-07-22,65438.60475134021,2969.3764295425485,68407.98118088277,88263.5535493907,22138.22958084257,17931.96596048248,598.3262636734689,10860.471576037413,8550.0,8550.0,12
2025-07-23,64130.44356514217,1679.9499348410263,65810.3934999832,87244.7555725467,22149.727286586673,17941.279102135206,416.50388841836684,9236.264159846938,8550.0,8550.0,13
2025-07-24,61076.48921379779,4310.822350742084,65387.31156453987,80434.10353234019,16087.0412466526,18214.320702985882,888.8956451020407,9833.80663377551,8550.0,2790.203007558579,19
2025-07-25,25475.036778871712,664.9307660914443,26139.967544963158,44361.877933744225,13787.80898228164,11262.760117586904,179.48142421258538,15510.990926595405,2790.203007558579,2685.053183182161,11
2025-07-26,28211.744866153196,773.2793223427188,28985.024188495918,50711.051364842315,20246.245866696063,11121.007016887756,243.21160819727814,13359.932556564625,2685.053183182161,8550.0,11
2025-07-27,61986.45735672002,5021.9401792079,67008.39753592793,84405.97960744704,22229.645250168807,18006.01265263673,1099.4504369727892,7596.607646887754,8550.0,8550.0,29
2025-07-28,62641.34978141558,9959.361644766002,72600.71142618159,84257.96095471167,22417.310583068993,18158.021572285885,2274.7007168027185,4318.495427397957,8550.0,8550.0,45
