日期,模型,计划购电费_元,紧急购电费_元,实际总成本_元,计划购电量_kWh,紧急购电量_kWh,紧急购电次数,弃电量_kWh,期初储能_kWh,期末储能_kWh,CVaR紧急成本_元,净负荷RMSE_kWh,净负荷MAE_kWh,80分位覆盖率,季度
2025-08-14,GBDT分位数主模型,50672.36963928384,3028.761357832458,53701.1309971163,79750.33246826836,680.707604524009,22,10493.243712484695,1200.0,1200.0,4514.51354435537,59.07107963628365,46.33070384423984,0.875,Q3
2025-08-15,GBDT分位数主模型,26416.556003650738,1277.627381312201,27694.18338496294,44105.524694506785,315.4287718086889,14,24669.126661889382,1200.0,1200.0,4514.513544355366,115.63885393467609,76.11146908837134,0.9791666666666666,Q3
2025-08-16,GBDT分位数主模型,25991.816198579094,852.8368178517076,26844.653016430802,43125.70829451321,250.4595785443623,15,23900.312073065128,1200.0,1200.0,4514.513544355368,66.65235381376144,47.15908907549348,0.9027777777777778,Q3
2025-08-17,GBDT分位数主模型,48922.694903423944,3404.2552276081924,52326.950131032136,75925.45359381681,862.562402402849,24,9926.750531185973,1200.0,1200.0,4514.513544355367,55.973264936192514,44.36788723731119,0.6805555555555556,Q3
2025-08-18,GBDT分位数主模型,50865.052617037865,2075.9861995818565,52941.03881661972,79538.88902018535,475.0005424920489,23,11574.043712705563,1200.0,1200.0,4514.513544355368,69.55947545241558,50.86359426224212,0.7430555555555556,Q3
2025-08-19,GBDT分位数主模型,51410.936918083346,1836.032088496932,53246.96900658028,80228.39041194363,549.3523946693427,17,12468.844591490866,1200.0,1200.0,4514.513544355367,52.955356684098106,39.476785892917015,0.8263888888888888,Q3
2025-08-20,GBDT分位数主模型,51413.40699540172,9802.734723459966,61216.14171886168,80348.25154506901,2592.8654231601777,34,8257.956713041702,1200.0,1200.0,4514.513544355365,86.10649249305817,64.28188748085009,0.6388888888888888,Q3
2025-08-21,GBDT分位数主模型,50878.13328154222,2813.387924314268,53691.52120585649,79237.0921306391,889.1513349061113,22,10286.318562352812,1200.0,1200.0,4514.513544355366,67.26923366575316,45.78913081451223,0.8194444444444444,Q3
2025-08-22,GBDT分位数主模型,26644.30913664277,1519.0448751912616,28163.35401183403,44216.87855493183,367.20219827887956,17,20726.67900725551,1200.0,1200.0,4514.513544355367,66.00556455480243,49.84700230375745,0.8541666666666666,Q3
2025-08-23,GBDT分位数主模型,26180.462857513383,911.873408660314,27092.336266173697,43462.43383961292,272.1540380583552,21,18609.058294086564,1200.0,1200.0,4514.513544355367,76.98181538421551,54.62209917503719,0.7986111111111112,Q3
2025-08-24,GBDT分位数主模型,49329.91362869993,3058.765675621884,52388.67930432181,76686.73806495551,817.835257245094,25,9809.705204828888,1200.0,1200.0,4514.513544355366,72.72582012567956,53.006067466376095,0.6944444444444444,Q3
2025-08-25,GBDT分位数主模型,51506.853155138546,7793.8141087120775,59300.66726385062,80858.60615087123,2210.5683139388475,37,8004.9178009094085,1200.0,1200.0,8633.424501676493,93.1201141543503,66.70037495257556,0.6180555555555556,Q3
2025-08-26,GBDT分位数主模型,50076.980090917736,4264.075119133469,54341.05521005121,79451.33387005355,996.2361775934053,25,10836.40906894827,1200.0,1200.0,7590.051385558622,61.09620540111625,46.73656230436422,0.7569444444444444,Q3
2025-08-27,GBDT分位数主模型,52257.19553722344,3475.9101828569483,55733.105720080384,82674.86825375765,834.2467751599036,27,11344.875149678199,1200.0,1200.0,6597.339681849572,61.47569702474267,42.703477833350576,0.7916666666666666,Q3
2025-08-28,GBDT分位数主模型,50358.036543802606,9929.776381520129,60287.81292532274,79788.24475639078,2586.198092323997,49,7329.46522513275,1200.0,1200.0,13337.022191784137,99.89385388365075,62.03333123456332,0.6736111111111112,Q3
2025-08-29,GBDT分位数主模型,26002.997794527466,4324.750504774149,30327.748299301616,43082.05045441586,1033.8499688319969,17,19011.929071618128,1200.0,1200.0,1475.9518953349548,67.51196474015515,52.3667294454597,0.875,Q3
2025-08-30,GBDT分位数主模型,28309.38330677258,186.92101409078566,28496.304320863364,46661.14653167934,48.19497737066985,4,25562.787459731928,1200.0,1200.0,1367.2546018029454,95.27887275258516,61.77571314304743,0.8055555555555556,Q3
2025-08-31,GBDT分位数主模型,48926.149601192155,6224.960262428607,55151.10986362076,76929.06154539113,1904.005129769323,35,7938.171083062163,1200.0,1200.0,6566.935685747008,94.53823729879592,65.62219908377216,0.6180555555555556,Q3
2025-09-01,GBDT分位数主模型,53304.081952333916,481.9874924026615,53786.069444736575,83378.25966800255,200.95994019617825,5,25720.974656846818,1200.0,1200.0,4285.392247212276,123.38770103346936,108.41583179582038,0.9930555555555556,Q3
2025-09-02,GBDT分位数主模型,50721.502513700136,1089.2711681092896,51810.77368180943,80097.06114566993,278.6041428494278,9,22188.5239972845,1200.0,1200.0,2998.350511899128,101.36827964788802,88.0521697518893,0.9375,Q3
