date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots
2025-06-24,56576.44782073194,10103.120482164839,66679.56830289678,81392.50161745568,24193.70453374062,21774.334080366563,2099.4119487414964,4803.750862823125,8428.291754873715,8428.291754873715,38
2025-06-25,55284.53245945356,2707.6269868778113,57992.159446331374,81849.08266687367,24231.818499349087,21808.636649414184,688.9126831462575,9677.392133418367,8428.291754873715,8428.291754873715,14
2025-06-26,50988.87580090088,598.7113634065755,51587.58716430746,74787.18609905143,17800.176948091455,22017.9023499584,116.50615392857185,11574.033821513605,8428.291754873715,2106.1154195244108,12
2025-06-27,17087.346869830133,583.7360983863758,17671.08296821651,35750.37303272024,12707.952134175244,11335.590023818948,217.67561498299284,14824.040670680273,2106.1154195244108,2213.176329258449,17
2025-06-28,19704.208251748016,862.3114893708821,20566.519741118896,41625.84464319179,19262.924470259033,11440.455823495815,301.0096570578224,12327.459536819728,2213.176329258449,8428.291754873715,19
2025-06-29,55879.715465130015,1257.8284039298326,57137.543869059846,81735.9430100464,24285.955179205477,21857.35966128493,364.80894409863936,10404.38790289115,8428.291754873715,8428.291754873715,17
2025-06-30,54498.97400838551,2664.4668291449993,57163.44083753051,81058.16665998026,23965.51735881621,21568.965622934593,653.1570303911565,9437.087971156468,8428.291754873715,8428.291754873715,18
2025-07-01,58663.745756746895,24211.6203474061,82875.366104153,80553.23159909129,23347.603567273396,21012.843210546056,5827.788502397958,5179.7157114285765,8428.291754873715,8428.291754873715,85
2025-07-02,58562.91882540871,19427.890354799998,77990.80918020871,81224.59966452968,23292.90622982063,20963.61560683857,4499.165870408161,10489.708545289119,8428.291754873715,8428.291754873715,80
2025-07-03,57528.838631641986,16854.958858760787,74383.79749040277,75640.12389395882,16663.20472318594,20685.84167987337,3826.1256402380955,3728.4675575510214,8428.291754873715,2431.604092408822,85
2025-07-04,23073.919935399583,6673.287463910203,29747.207399309784,40334.51987365082,13274.742469889537,11796.731965587653,1810.5283208503397,11786.170223532608,2431.604092408822,2590.283240257497,57
