date,uniform56,half_life7,half_life14,half_life28,uniform28,uniform42
2025-05-08,1651.9595628668494,1874.5117547338173,1772.0219968552865,1702.638338905411,1757.6063678794533,1637.1542252719796
2025-05-09,1359.3664569252892,1492.6451855351397,1423.8591427397928,1398.5163648215253,1441.7176783126442,1427.680492288006
2025-05-10,1781.081690099106,1679.4170364629376,1705.9012539239818,1737.9487177048968,1775.7547483977637,1760.5083689198534
2025-05-11,1512.1909770512505,1625.5375069856125,1530.9115741628195,1530.3728909755591,1524.71967394481,1457.0748320421044
2025-05-12,2394.2315147407116,2550.7563480096005,2470.202202520048,2436.8955191526015,2436.632182785761,2377.1964048541768
2025-05-13,1407.2903250894735,1579.104903997473,1509.7849396536933,1468.0968959086013,1499.874350147016,1466.9972366216061
2025-05-14,1539.8132321866594,1692.0923292294265,1665.307330012563,1610.0848274959808,1667.2211439415746,1585.8195917763962
2025-05-15,1724.950686069867,1789.3868924098706,1781.8930104429407,1742.0402658798473,1730.6408557393065,1689.8914190473183
2025-05-16,2091.8434793126426,2172.919110691835,2165.431330428498,2149.0660529329525,2218.896721891995,2101.1155186093933
2025-05-17,1829.6454310565805,1992.865007180987,1914.6028370500474,1871.3664517009854,1954.34506798549,1847.2246283555123
2025-05-18,1709.511076402522,1876.8350527289972,1753.9760028450482,1711.8081923908292,1749.9327259011766,1729.3432643747556
2025-05-19,1990.9103836057511,1989.7386177387314,2011.2092883894834,1996.0296896509958,2044.0639519097774,1989.1557602722278
2025-05-20,1439.124936453686,1541.9025944001658,1483.8056942288363,1440.702178702555,1452.81579231836,1469.5149739188441
2025-05-21,1895.385058990868,2152.0124863158517,1979.1202055775448,1899.1849944997211,1873.7366379443229,1843.7150751497331
2025-05-22,1430.6033382766536,1451.3804095146984,1445.8733433341222,1444.4899253501894,1532.8170162493982,1406.583996965625
2025-05-23,1317.1979182040598,1337.8166409766216,1341.3313978692004,1329.5745463063924,1387.7277666287107,1338.1442312275017
2025-05-24,1908.387067247013,1981.1710690965315,1966.7276906389643,1924.5106742257367,1922.180058973599,1901.0097562108708
2025-05-25,1703.2433111837574,1666.577471349513,1717.3033112929575,1712.1709018158408,1843.634209842135,1686.041710288592
2025-05-26,1952.1562897518322,2280.065175802834,2079.376241172716,1989.6014396958108,1924.1628843330043,2040.9082982418265
2025-05-27,1429.061050485436,1406.9711222550347,1432.1809012050746,1441.9521376937869,1527.219584370352,1439.9959309411702
2025-05-28,1779.6474924518484,1930.9960172819383,1880.1278275245206,1835.0502373145405,1741.4193218118075,1812.3024046255464
2025-05-29,1716.1394896066356,1736.7487107540176,1681.5553763790697,1667.6693582034013,1571.8645202344874,1652.5194647977005
2025-05-30,1701.0281599440505,1867.2846482026712,1762.461425722659,1728.4886034318927,1814.0751460626893,1723.8092521994945
2025-05-31,1611.0643687227343,1923.322675213219,1742.8323144610877,1675.8909719935673,1784.8953468844184,1705.2159045542735
2025-06-01,8076.742859093322,7954.174894850958,7959.832829244928,8000.130717100576,8028.795952960687,7835.014530598471
2025-06-02,6137.068253228891,5251.82266931161,5664.965755406213,5831.515503083647,5917.64784807192,5780.664048489578
2025-06-03,2754.7854279172834,1898.4432171058227,2261.12157960951,2526.8475815000047,2635.645434262926,2513.4304988401495
2025-06-04,2398.310342348174,1885.292465263169,2023.6409964058346,2217.5694912092404,2214.94817318091,2235.0153570981174
2025-06-05,1564.3634993116207,1578.9314454141377,1428.743503823906,1396.5576123276596,1372.3309427338502,1389.5635010460069
2025-06-06,2651.695520374431,1743.6038833666935,2153.665246513149,2404.603859263875,2338.1804768618636,2358.3260617250817
2025-06-07,2034.2538185600042,1926.0501200515557,1952.1449642106409,1934.2179963899296,1988.9666666429907,1844.9023370472455
2025-06-08,2989.8586903092946,3682.3534983128175,3426.9949864707332,3210.8595504470213,3219.762437812897,3236.0411374438922
2025-06-09,1767.229529860653,2333.333371466009,2094.633073262329,1922.2132027633156,1946.3048915257707,1971.793313709132
2025-06-10,1763.5856954436167,2318.934893804995,2080.6186363523893,1908.1674488340127,1984.6504085093889,1908.7619215442758
2025-06-11,1789.0763458642596,1901.1329349616722,1815.283726710335,1827.5294467861222,1925.8940748333966,1834.6475679083603
2025-06-12,1678.4362055706054,1953.0452459808707,1854.4632614628717,1781.2317786046951,1839.456208086983,1786.4927961573026
2025-06-13,1783.726248237598,1857.0355796155206,1826.8725124845466,1805.4582955446142,1871.5558893010589,1784.111615629907
2025-06-14,1924.400216429256,2098.930213798325,2072.0756384713386,2022.7639598962023,2142.1853686412223,1953.3813676962513
2025-06-15,2029.1561869356397,2149.95226926467,2163.7343807129846,2124.2833282879246,2246.605678086393,2064.0195175219924
2025-06-16,1815.5234185989661,1871.6625546781952,1914.3861074136864,1890.4082031270746,2005.2875323338785,1865.2687640069921
2025-06-17,2030.3850987817254,2100.0023399956826,2102.0484795302395,2089.1761143640992,2154.58749621292,2071.069940238229
2025-06-18,2144.5922691627065,2051.0146760944,2168.938736402299,2198.339990398744,2332.4366597082817,2126.5224791140054
2025-06-19,2404.6766220813397,2258.0378636453906,2397.666000798132,2432.4030436416956,2568.0431744875345,2389.4375871595416
2025-06-20,2296.402726504904,2060.0876490120418,2231.9002487262883,2291.2312092772554,2432.0814616285998,2230.865575546521
2025-06-21,2652.7513654978447,2354.192428295717,2527.367866511573,2606.4966037461136,2792.1433803170776,2577.0296437069183
2025-06-22,2341.1746978081637,2001.295358824078,2175.713717913154,2280.04466401331,2478.9231361529773,2221.165019599318
2025-06-23,1999.7255030174128,1610.5603440572697,1804.95810231577,1928.4646455234101,2158.546899075859,1881.4019496352923
