date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots,sample_count,max_history_day,clipped_scenario_price_count,horizon_expected_cost_yuan,solver_status,raw_simultaneous_slots
2025-06-19,59726.305160456424,832.2189040414019,60558.524064497826,87021.35993415218,22525.883994016127,18920.966035153062,234.8983210714282,15391.836096360545,1950.0,1200.0,13,56,2025-06-18,0,80168.05097033945,0,0
2025-06-20,20246.253720618337,410.75688542397864,20657.010606042317,41352.55735303939,13613.740924876123,11027.13014914966,201.44641909863924,16566.812146411565,1200.0,1200.0,12,56,2025-06-19,0,38331.66365456831,0,0
2025-06-21,23064.361818223093,1037.1901977117025,24101.552015934798,49515.72184740111,22583.138445326276,11002.342140714285,311.2889001360548,18911.474042925172,1200.0,9300.0,13,56,2025-06-20,0,73660.21634108762,0,0
2025-06-22,55562.699350641386,239.57203756840974,55802.271388209796,77759.87447951939,14326.532332325523,18894.491189183675,89.45312221088432,14959.945358588433,9300.0,1200.0,5,56,2025-06-21,0,115546.04705765181,0,0
2025-06-23,57854.90576697789,189.2980327566322,58044.203799734525,85222.72033502226,21993.18100468212,17814.476613792514,78.67403607142842,14061.403980204084,1200.0,1200.0,6,56,2025-06-22,0,113711.38424639641,0,0
2025-06-24,58423.825147791234,9643.054011865306,68066.87915965654,83793.17645126922,23232.957923973296,18818.695918418365,1981.588462619047,5091.7106583333325,1200.0,1200.0,38,56,2025-06-23,0,111388.9405664316,0,0
2025-06-25,57155.62576541442,2525.649383867932,59681.27514928236,84226.00450121168,22903.387241160664,18551.743665340135,644.4047677891151,10081.344326513605,1200.0,1200.0,14,56,2025-06-24,0,112656.12104342655,0,0
2025-06-26,56191.960709347375,507.0737138668067,56699.03442321418,83956.1294422789,23166.666666666668,18765.0,96.24322719387828,12103.322169472789,1200.0,1200.0,11,56,2025-06-25,0,78244.53783909239,0,0
2025-06-27,17842.671650466214,519.4389959703931,18362.11064643661,37474.173496606825,13369.5737547871,10829.354741377552,195.40532831632714,15357.713944846942,1200.0,1200.0,14,56,2025-06-26,0,36558.740671409076,0,0
2025-06-28,21600.116513838457,706.8840627326792,22307.000576571136,45939.52517193227,22653.399356303016,11059.253478605442,252.72477321428568,12821.177950782314,1200.0,9300.0,18,56,2025-06-27,0,71459.91073915154,0,0
