date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots,sample_count,max_history_day,clipped_scenario_price_count,horizon_expected_cost_yuan,solver_status,raw_simultaneous_slots
2025-05-31,15006.589955889698,1253.5398396840405,16260.12979557374,38044.035970586,22335.468984987823,10666.729877840135,494.4291273979594,18480.54444083627,1950.0,10200.0,22,56,2025-05-30,1,47056.1741145401,0,0
2025-06-01,38886.34121595714,51943.32306904739,90829.66428500453,56264.33013292769,12421.225628369866,16136.192758979589,12100.874620221088,855.3455837585025,10200.0,3450.0,118,56,2025-05-31,0,75454.1555439913,0,0
2025-06-02,43385.59325047821,36497.1200543586,79882.71330483681,65930.17084148631,19046.519559712775,16912.680843367347,8028.574962852312,3184.0996379931967,3450.0,1800.0,109,56,2025-06-01,0,80646.91767323644,0,0
2025-06-03,47911.43392031395,14928.14125886216,62839.575179176114,72792.74120701205,23451.849268287562,17510.997907312925,3265.7760134013624,1925.2990261054413,1800.0,3450.0,89,56,2025-06-02,0,85264.67805799526,0,0
2025-06-04,49410.7208040728,12385.421135875587,61796.141939948386,73556.59045694498,20960.975783061647,17653.390384279934,3123.833760255101,3727.5780017516995,3450.0,2700.0,73,56,2025-06-03,0,89916.37144808605,0,0
2025-06-05,51656.52594772604,6735.320800209869,58391.84674793591,75282.59373159864,20701.913341836735,18118.549806887757,1678.3299679081629,3228.2421478911574,2700.0,1200.0,60,56,2025-06-04,0,65732.35789640418,0,0
2025-06-06,18879.29604685244,6065.288855928496,24944.584902780938,37142.91773026602,13727.203927017723,10444.035180884353,1817.8370412925167,4822.590625425165,1200.0,1950.0,45,56,2025-06-05,7,33891.51097894407,0,0
2025-06-07,23297.98628730934,2388.357309665983,25686.343596975326,47716.12340706665,22764.97378772991,11149.628768061226,767.9731838265301,5742.238404557825,1950.0,10050.0,30,56,2025-06-06,0,68302.92454911135,0,0
2025-06-08,56123.13887228218,40.86928251250082,56164.008154794676,79473.25657397958,15833.333333333334,20115.000000000004,9.032051683673672,18579.03202566327,10050.0,1950.0,2,56,2025-06-07,0,111740.86050320038,0,0
2025-06-09,59372.41524375686,789.7987107167774,60162.21395447364,85405.14429970417,22930.44671890485,19248.661842312922,248.75153814625855,11039.398227925172,1950.0,1200.0,13,56,2025-06-08,0,108892.91681667374,0,0
2025-06-10,60379.126043877484,662.6746709800444,61041.80071485753,87355.05717937075,24833.333333333336,19440.0,217.96144181972846,10561.241054523809,1200.0,1950.0,11,56,2025-06-09,0,109489.79774772411,0,0
2025-06-11,59770.1623521426,4749.067420673027,64519.229772815626,86597.7766158451,23503.587343957337,19037.90574860544,927.4539602551022,6975.102664081636,1950.0,1950.0,24,56,2025-06-10,0,109713.26975293767,0,0
2025-06-12,60030.60321629072,736.382626538795,60766.98584282951,86277.06985691148,22804.458844020326,19146.611663656462,208.72799901360628,10375.559242227895,1950.0,1200.0,14,56,2025-06-11,0,77573.31776915853,0,0
2025-06-13,20587.471864441464,687.161899873528,21274.633764314993,41611.28794602146,13668.721647875202,11071.66453477891,165.76201362244888,10834.679146547622,1200.0,1200.0,14,56,2025-06-12,0,37696.757750408724,0,0
2025-06-14,25247.080296693017,309.70086333847985,25556.7811600315,51454.13088205488,23559.95924904468,11118.566991726191,141.6274836564636,12961.023358392857,1200.0,10050.0,11,56,2025-06-13,0,73639.87702477185,0,0
2025-06-15,56781.874141113476,8.206497666666086,56790.08063878014,79361.93121852251,14699.130486226592,19196.295693843538,1.955833333333203,13234.077926139458,10050.0,1950.0,2,56,2025-06-14,0,115058.4251733997,0,0
2025-06-16,61337.80597933306,553.3898760060184,61891.19585533908,87338.756900017,22333.333333333336,18765.0,191.1489531632651,11267.51970318027,1950.0,1200.0,15,56,2025-06-15,0,115236.52296874256,0,0
